Location,Date,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday
Sydney,2010-10-20,12.9,20.3,0.2,3.0,10.9,ENE,37.0,W,E,11.0,26.0,70.0,57.0,1028.8,1025.6,3.0,1.0,16.9,19.8,No
Sydney,2010-10-21,13.3,21.5,0.0,6.6,11.0,ENE,41.0,W,ENE,11.0,28.0,75.0,58.0,1025.9,1022.4,2.0,5.0,17.6,21.3,No
Sydney,2010-10-22,15.3,23.0,0.0,5.6,11.0,NNE,41.0,W,ENE,6.0,19.0,70.0,63.0,1021.4,1017.8,1.0,4.0,19.0,22.2,No
Sydney,2010-10-26,12.9,26.7,0.2,3.8,12.1,NE,33.0,W,ENE,13.0,24.0,73.0,56.0,1018.0,1015.0,1.0,5.0,17.8,22.5,No
Sydney,2010-10-27,14.8,23.8,0.0,6.8,9.6,SSE,54.0,SSE,SE,13.0,26.0,76.0,69.0,1016.0,1014.7,2.0,7.0,20.2,20.6,No
Sydney,2010-10-29,14.5,22.1,0.2,6.2,1.8,ENE,31.0,WNW,ENE,11.0,15.0,82.0,59.0,1020.7,1017.5,7.0,7.0,16.2,20.5,No
Sydney,2010-11-01,18.1,20.4,5.2,6.6,0.1,SSE,48.0,S,SSE,22.0,28.0,78.0,77.0,1014.7,1012.1,8.0,8.0,18.7,18.6,Yes
Sydney,2010-11-03,12.0,23.9,0.2,4.0,11.9,SE,44.0,W,ESE,13.0,24.0,65.0,54.0,1018.1,1016.3,1.0,3.0,17.6,20.7,No
Sydney,2010-11-04,14.4,18.1,0.4,5.4,2.8,ESE,48.0,S,SE,15.0,20.0,83.0,68.0,1022.3,1020.5,7.0,7.0,14.8,17.6,No
Sydney,2010-11-05,13.4,19.2,8.4,8.4,2.7,SE,46.0,SE,SSE,17.0,30.0,67.0,53.0,1023.9,1022.1,7.0,7.0,15.2,17.8,Yes
Sydney,2010-11-08,16.1,26.3,0.0,5.8,7.9,SW,74.0,E,NNE,7.0,28.0,64.0,52.0,1017.2,1015.1,3.0,7.0,23.3,23.8,No
Sydney,2010-11-09,17.2,23.6,5.6,11.2,7.0,SSE,37.0,SSE,E,22.0,11.0,80.0,54.0,1025.0,1024.2,7.0,8.0,19.7,23.2,Yes
Sydney,2010-11-10,18.2,24.5,0.0,3.2,6.0,N,52.0,WNW,ENE,6.0,30.0,87.0,72.0,1021.8,1017.1,5.0,7.0,20.9,23.5,No
Sydney,2010-11-11,19.7,27.2,8.6,7.2,9.3,E,30.0,ESE,E,7.0,24.0,77.0,43.0,1014.9,1012.0,5.0,3.0,20.1,25.0,Yes
Sydney,2010-11-16,17.4,23.5,21.0,1.0,7.9,ESE,35.0,S,SSE,13.0,20.0,82.0,65.0,1013.3,1011.3,7.0,3.0,18.8,22.8,Yes
Sydney,2010-11-17,17.1,22.3,0.4,6.6,4.2,SSE,28.0,S,E,17.0,15.0,80.0,61.0,1017.1,1015.7,7.0,6.0,17.5,21.0,No
Sydney,2010-11-18,16.8,23.4,1.0,3.6,8.8,NE,35.0,N,NE,7.0,20.0,65.0,59.0,1015.2,1012.2,3.0,6.0,22.3,22.6,No
Sydney,2010-11-19,16.7,20.0,0.0,8.0,0.4,SSE,67.0,S,SSE,26.0,33.0,71.0,58.0,1021.8,1024.0,7.0,8.0,17.4,18.5,No
Sydney,2010-11-22,16.5,24.0,0.0,9.0,11.4,NE,44.0,WNW,E,4.0,26.0,82.0,54.0,1026.0,1024.3,6.0,2.0,19.3,23.2,No
Sydney,2010-11-24,17.5,24.7,0.0,11.0,12.6,NE,56.0,NNE,NE,17.0,26.0,60.0,58.0,1025.3,1022.0,2.0,1.0,22.8,24.1,No
